date,keyword,ticker count
20220118,airliner,"[('EANAX', 1), ('VZ', 1), ('JBLU', 1), ('T', 1), ('AAL', 1), ('UAL', 1), ('BA', 1), ('FDX', 1)]"
20220118,Kristina_Heuser,"[('LUV', 1)]"
20220118,investigation,"[('BHP', 1), ('GLNCY', 1), ('FCX', 1), ('MSFT', 1), ('ALEX', 1), ('EA', 1), ('GS', 1), ('ATVI', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('ZNGA', 1), ('SNEJF', 1), ('SONY', 1), ('TTWO', 1)]"
20220118,decrease,"[('GSBD', 1)]"
20220118,book,"[('BABA', 1), ('ATVI', 1), ('RY', 1)]"
20220118,Avi_Eyal,"[('RSKD', 1), ('MNDY', 1)]"
20220118,resolution,"[('BLK', 1), ('TEVA', 1)]"
20220118,crackdown,"[('MA', 1), ('COIN', 1)]"
20220118,fixing,"[('TEVA', 1)]"
20220118,transaction,"[('SNEJF', 3), ('SONY', 3), ('ATVI', 3), ('NLOK', 3), ('TCEHY', 3), ('TCTZF', 3), ('MSFT', 3), ('AAPL', 2), ('FB', 2), ('ZNGA', 2), ('AMZN', 2), ('GOOG', 2), ('GOOGL', 2), ('TTWO', 2), ('ALEX', 2), ('EA', 2), ('C', 1), ('BLK', 1), ('BHP', 1), ('GLNCY', 1), ('FCX', 1), ('BABA', 1), ('SQ', 1), ('PINS', 1), ('XRSMF', 1), ('GS', 1), ('NUAN', 1)]"
20220118,Fraser,"[('C', 1)]"
20220118,bump,"[('EANAX', 1), ('VZ', 1), ('JBLU', 1), ('T', 1), ('AAL', 1), ('UAL', 1), ('BA', 1), ('FDX', 1)]"
20220118,JPM,"[('SCHW', 1)]"
20220118,dollar,"[('AAPL', 2), ('ERIC', 1), ('SONO', 1), ('AMZN', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('YELP', 1), ('ZNGA', 1), ('SPOT', 1), ('MTCH', 1)]"
20220118,spotlight,"[('NUAN', 1), ('MSFT', 1), ('SNEJF', 1), ('SONY', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('AAPL', 1), ('FB', 1), ('GOOG', 1), ('GOOGL', 1), ('AMZN', 1), ('ALEX', 1), ('EA', 1), ('ATVI', 1)]"
20220118,layout,"[('CDNS', 1), ('TSLA', 1)]"
20220118,coffee,"[('SBUX', 1)]"
20220118,Chinese_Ministry_of_State_Security,"[('BABA', 1)]"
20220118,May.,"[('MSFT', 1), ('ALEX', 1), ('EA', 1), ('GS', 1), ('ATVI', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('ZNGA', 1), ('SNEJF', 1), ('SONY', 1), ('TTWO', 1)]"
20220118,Honda_Motor,"[('TM', 1)]"
20220118,sight,"[('XOM', 1), ('MA', 1), ('COIN', 1), ('NYT', 1), ('GS', 1), ('TTWO', 1), ('FB', 1), ('ZNGA', 1), ('ATVI', 1), ('MSFT', 1)]"
20220118,Coinbase,"[('MA', 1), ('COIN', 1)]"
20220118,resource,"[('C', 1)]"
20220118,shopping,"[('SHOP', 1)]"
20220118,union,"[('STLA.MI', 1)]"
20220118,Nissan_Motor,"[('TM', 1)]"
20220118,bird,"[('PBR-A', 1), ('REPYY', 1)]"
20220118,entertainment,"[('MSFT', 1), ('ALEX', 1), ('EA', 1), ('GS', 1), ('ATVI', 1), ('NLOK', 1), ('TCEHY', 1), ('TCTZF', 1), ('ZNGA', 1), ('SNEJF', 1), ('SONY', 1), ('TTWO', 1)]"
20220118,sugar,"[('LUV', 1)]"
20220118,selloff,"[('RY', 1), ('MELI', 1)]"
20220118,jump,"[('GSBD', 1)]"
20220118,province,"[('SHOP', 1)]"
